date,totalNewAccountSignups,totalOrders,totalRevenue,activePaidUsers,existingCustomerRevenue,numberOfNewPaidUsers,newCustomerPurchases,totalRevenueFromNewCustomers,retainedCustomerPurchases,retainedCustomerPurchases,retainedCustomerRevenue,numberOfResurrectedCustomers,resurrectedCustomerPurchases,resurrectedCustomerRevenue,numberOfNewActivatedAccounts
2025-04-20,0.0,0.0,0.0,27,4405.25,8,0.0,0.0,16,16,3971.75,3,3,433.5,22
2025-04-21,0.0,0.0,0.0,76,15623.91,18,0.0,0.0,51,51,14715.66,7,7,908.2499999999999,65
2025-04-22,0.0,0.0,0.0,80,12441.75,16,0.0,0.0,56,56,11378.95,8,8,1062.8,66
2025-04-23,0.0,0.0,0.0,60,9919.0,10,0.0,0.0,45,45,9262.5,5,5,656.5,47
2025-04-24,0.0,0.0,0.0,67,14508.150000000001,11,0.0,0.0,48,48,12581.35,8,8,1926.8000000000002,52
2025-04-25,0.0,0.0,0.0,66,11523.0,16,0.0,0.0,41,41,10321.55,9,9,1201.45,51
2025-04-26,0.0,0.0,0.0,28,5105.4,9,0.0,0.0,15,15,4258.95,4,4,846.45,22
2025-04-27,0.0,0.0,0.0,48,7756.85,15,0.0,0.0,27,27,6062.2,6,6,1694.65,37
2025-04-28,0.0,0.0,0.0,86,14924.15,21,0.0,0.0,54,54,13579.1,11,11,1345.05,57
2025-04-29,0.0,0.0,0.0,89,14931.45,24,0.0,0.0,52,52,11563.45,13,13,3368.0,64
2025-04-30,0.0,0.0,0.0,86,13117.41,23,0.0,0.0,54,54,11257.11,9,9,1860.3,50
2025-05-01,0.0,0.0,0.0,91,14538.449999999999,22,0.0,0.0,62,62,13169.05,7,7,1369.4,46
2025-05-02,0.0,0.0,0.0,61,9704.6,16,0.0,0.0,37,37,8697.6,8,8,1007.0,36
2025-05-03,0.0,0.0,0.0,41,10025.7,10,0.0,0.0,24,24,7135.2,7,7,2890.5,29
2025-05-04,0.0,0.0,0.0,47,7276.200000000001,8,0.0,0.0,31,31,6001.85,8,8,1274.35,22
2025-05-05,0.0,0.0,0.0,112,18837.550000000003,31,0.0,0.0,72,72,16909.74,9,9,1927.81,65
2025-05-06,0.0,0.0,0.0,91,17743.14,17,0.0,0.0,64,64,15602.84,10,10,2140.3,41
2025-05-07,0.0,0.0,0.0,101,19916.15,23,0.0,0.0,62,62,16981.75,16,16,2934.4,58
2025-05-08,0.0,0.0,0.0,61,10109.65,10,0.0,0.0,43,43,9212.4,8,8,897.25,30
2025-05-09,0.0,0.0,0.0,81,21123.649999999998,15,0.0,0.0,57,57,19101.55,9,9,2022.1,36
2025-05-10,0.0,0.0,0.0,29,4596.55,8,0.0,0.0,19,19,4179.2,2,2,417.35,13
2025-05-11,0.0,0.0,0.0,55,9594.0,12,0.0,0.0,36,36,8090.85,7,7,1503.1499999999999,27
2025-05-12,0.0,0.0,0.0,89,13896.4,14,0.0,0.0,64,64,12952.9,11,11,943.5,35
2025-05-13,39.0,67.0,12766.25,79,11669.4,17,17.0,3123.9,49,49,9815.05,13,13,1854.35,37
2025-05-14,15.0,49.0,11590.15,52,11765.4,6,6.0,914.45,40,40,10638.3,6,6,1127.1,18
2025-05-15,42.0,62.0,16156.2,73,14443.5,17,17.0,4299.65,45,45,13236.5,11,11,1207.0,33
2025-05-16,40.0,64.0,15612.3,68,15630.1,13,13.0,5091.95,48,48,13746.6,7,7,1883.5,25
2025-05-17,26.0,25.0,7458.05,33,7278.950000000001,10,10.0,3141.2999999999997,20,20,6979.85,3,3,299.1,16
2025-05-18,23.0,27.0,5291.349999999999,34,4588.4,8,8.0,1889.6,21,21,3582.0,5,5,1006.4000000000001,16
2025-05-19,33.0,77.0,17551.3,80,16509.6,9,9.0,1605.65,62,62,15132.55,9,9,1377.05,28
